tc,f,df,TS,UL95
54852.16,1.491e-07,9.638e-08,24.588251,1.375383e-07
54853.16,1.9690000000000002e-07,1.1509999999999999e-07,14.607861999999999,1.000433e-07
54854.16,4.813000000000001e-07,1.7559999999999998e-07,36.492849,False
54855.16,1.784e-07,7.176e-08,70.749525,False
54856.16,1.395e-07,8.073000000000001e-08,19.442368,1.410415e-07
54857.16,2.236e-07,8.965e-08,40.164884,False
54858.16,8.377e-08,5.7549999999999996e-08,9.884596,1.017629e-07
54859.16,9.442000000000001e-09,9.573e-09,27.414447999999997,False
54860.16,3.2649999999999997e-07,1.126e-07,74.02471800000001,False
54861.16,1.506e-07,7.59e-08,24.729378,1.360411e-07
54862.16,1.399e-07,6.765e-08,26.770031,False
54863.16,1.289e-07,8.232e-08,16.090577,1.471145e-07
54864.16,2.3789999999999998e-07,1.1380000000000001e-07,24.92792,False
54865.16,1.153e-07,7.556e-08,18.346629,9.727244e-08
54866.16,4.236e-08,3.785e-08,13.071806,4.887250e-08
54867.16,1.491e-07,5.945e-08,57.665473,False
54868.16,9.038e-08,4.3150000000000006e-08,53.202127000000004,False
54869.16,1.1349999999999999e-07,6.381e-08,19.181441,1.137384e-07
54870.16,1.7379999999999998e-07,6.549e-08,61.145665,False
54871.16,1.0029999999999999e-07,7.06e-08,17.8338,1.231823e-07
54872.16,1.499e-07,5.3810000000000003e-08,100.03864300000001,False
54873.16,1.715e-07,8.365e-08,18.581467,8.210780e-08
54874.16,1.162e-07,5.481e-08,52.90741,False
54875.16,3.173e-07,1.001e-07,49.270049,False
54876.16,1.568e-07,7.418999999999999e-08,32.922156,False
54877.16,2.795e-07,1.2490000000000001e-07,17.930642000000002,1.662701e-07
54878.16,1.736e-07,8.855000000000001e-08,30.06077,False
54879.16,1.589e-07,6.63e-08,61.444724,False
54880.16,1.6260000000000001e-07,6.98e-08,46.86136,False
54881.16,2.077e-07,7.451e-08,48.68059,False
54882.16,5.646e-08,4.1520000000000004e-08,24.814421,5.223528e-08
54883.16,2.015e-07,8.512000000000001e-08,33.068442,False
54884.16,1.676e-08,1.377e-08,26.586651,False
54885.16,2.055e-07,9.170999999999999e-08,33.951716999999995,False
54886.16,1.166e-07,7.221e-08,38.562124,False
54887.16,1.3369999999999999e-07,6.684999999999999e-08,34.078183,False
54888.16,1.226e-07,7.432e-08,17.188412,1.347633e-07
54889.16,1.928e-07,8.807999999999999e-08,12.683958,1.268964e-07
54890.16,2.809e-07,1.176e-07,49.923922,False
54891.16,8.346999999999999e-08,5.5179999999999995e-08,31.949576,False
54892.16,1.542e-07,8.805e-08,18.683432,7.732980e-08
54893.16,7.469e-08,5.226e-08,6.15585,9.247263e-08
54894.16,1.4220000000000002e-07,6.442e-08,76.174647,False
54895.16,1.757e-07,6.456e-08,83.114437,False
54896.16,2.0449999999999998e-07,9.359999999999999e-08,13.017443,1.537102e-07
54897.16,1.079e-07,6.134e-08,23.768531,7.905431e-08
54898.16,1.639e-08,2.65e-08,1.4196520000000001,4.582647e-09
54899.16,1.393e-07,6.771e-08,29.334637,False
54900.16,7.717e-08,5.475e-08,21.962405,7.572469e-08
54901.16,2.539e-07,1.678e-07,7.034839999999999,1.491915e-07
54906.16,1.568e-07,1.427e-07,1.985627,1.200524e-07
54907.16,7.559e-08,6.636e-08,5.6503,1.052406e-07
54908.16,1.477e-07,8.103999999999999e-08,35.480199,False
54909.16,4.655e-08,5.125e-08,3.071695,8.358170e-08
54910.16,1.0300000000000001e-07,8.157999999999999e-08,10.265425,1.598911e-07
54911.16,9.573e-08,7.655000000000001e-08,7.245234,1.508655e-07
54912.16,5.2099999999999997e-08,4.615e-08,16.538542,5.961044e-08
54913.16,1.1710000000000001e-07,5.49e-08,32.771305,False
54914.16,1.391e-07,7.293999999999999e-08,12.525246000000001,7.158981e-08
54915.16,2.404e-07,9.588e-08,30.950662,False
54916.16,9.73e-08,8.269999999999999e-08,6.569624,1.539587e-07
54917.16,1.971e-07,7.039e-08,39.036466,False
54918.16,3.673e-08,3.427e-08,19.567813,3.389109e-08
54919.16,1.183e-08,1.497e-08,6.957948,2.088350e-08
54920.16,7.91e-08,5.236e-08,30.506842,False
54921.16,3.9329999999999995e-08,3.328e-08,16.315251,4.069723e-08
54922.16,3.2530000000000003e-07,9.776e-08,40.721492,False
54923.16,1.367e-07,7.014e-08,22.872345000000003,1.325553e-07
54924.16,4.0099999999999995e-08,4.551e-08,10.892192999999999,6.453436e-08
54925.16,6.814e-08,5.342e-08,12.591671,7.285917e-08
54926.16,1.8280000000000002e-07,8.881e-08,16.894156,1.157260e-07
54927.16,7.447e-08,3.675e-08,70.477326,False
54928.16,1.971e-07,7.534e-08,84.076324,False
54929.16,1.385e-07,8.562e-08,15.686081,7.296476e-08
54930.16,1.768e-07,6.674e-08,36.783349,False
54931.16,2.863e-07,1.049e-07,48.740901,False
54932.16,2.0309999999999999e-07,7.599000000000001e-08,41.706449,False
54933.16,1.302e-07,5.9240000000000006e-08,57.112159999999996,False
54934.16,2.331e-07,8.512000000000001e-08,32.000218,False
54935.16,6.388e-08,4.5519999999999993e-08,10.396198,6.917416e-08
54936.16,2.096e-07,6.587e-08,112.903701,False
54937.16,1.8899999999999999e-07,7.138e-08,72.004583,False
54938.16,1.6620000000000002e-07,9.106e-08,20.048488,1.040705e-07
54939.16,2.237e-07,8.586e-08,54.472839,False
54940.16,9.507999999999999e-08,6.354e-08,8.900502000000001,1.176729e-07
54941.16,1.326e-07,5.8410000000000005e-08,86.69431,False
54942.16,1.697e-07,6.066e-08,81.02994,False
54943.16,2.2640000000000002e-07,8.611000000000001e-08,34.590082,False
54944.16,1.193e-07,7.123e-08,19.159961,1.294341e-07
54945.16,1.6739999999999998e-07,7.928e-08,18.394775,9.518450e-08
54946.16,9.933999999999999e-08,7.736e-08,7.257619,1.412046e-07
54947.16,1.473e-07,6.209e-08,58.257512,False
54948.16,2.229e-07,8.154e-08,53.689689,False
54949.16,2.091e-07,9.773e-08,22.971914,1.068189e-07
54950.16,2.324e-07,1.296e-07,22.971914,1.255533e-07
54951.16,6.632e-08,4.883e-08,7.637533,7.937748e-08
54952.16,1.505e-07,6.263e-08,47.936169,False
54953.16,1.346e-07,8.821e-08,39.713808,False
54954.16,4.325e-08,7.466000000000001e-08,0.8956370000000001,1.133803e-07
54955.16,2.069e-07,9.460000000000001e-08,22.869101,1.029317e-07
54956.16,1.451e-07,9.093999999999999e-08,13.711948999999999,8.014510e-08
54957.16,9.939999999999999e-08,6.533e-08,30.071894,False
54958.16,1.1550000000000001e-07,1.1480000000000001e-07,30.071894,1.044384e-07
54959.16,1.6489999999999997e-07,1.1539999999999999e-07,4.360914,1.406455e-07
54960.16,1.264e-07,8.651e-08,8.519231,1.612831e-07
54961.16,7.101e-08,6.972e-08,3.221685,1.411003e-07
54962.16,3.755e-07,1.237e-07,54.13681700000001,False
54963.16,1.997e-07,1.0810000000000001e-07,11.233081,1.288635e-07
54964.16,2.128e-07,9.498e-08,40.900064,False
54965.16,1.382e-07,6.724e-08,49.431369000000004,False
