# mjd,flux,flux err
54767.5041204,0.4382254,0.0109588
54769.4990394,0.4570853,0.0102947
54769.4999653,0.4595110,0.0126704
54773.4901736,0.4396588,0.0100074
54773.4910880,0.4397271,0.0266109
54777.4792940,0.4575276,0.0097736
54777.4802199,0.4544297,0.0107849
54780.4684606,0.4646489,0.0161926
54780.4693750,0.4676084,0.0096076
54786.4523495,0.4697677,0.0263446
54786.4532755,0.4668987,0.0102940
54790.4412269,0.4612788,0.0160662
54790.4421528,0.4696851,0.0161277
54792.4354977,0.4655127,0.0117798
54792.4364120,0.4659090,0.0112547
54794.4300463,0.4602999,0.0165763
54794.4309606,0.4523861,0.0121062
54806.3973148,0.4652004,0.0156679
54806.3982292,0.4671435,0.0134460
54808.3923611,0.4500105,0.0496595
54808.3932755,0.4748459,0.0185830
54812.3815394,0.4827366,0.0132702
54812.3824653,0.4743226,0.0136185
54814.3761111,0.4722300,0.0099047
54814.3770370,0.4759231,0.0099560
54818.3652546,0.4628786,0.0324546
54824.3487963,0.4588643,0.0122990
54824.3497106,0.4562319,0.0259978
54848.2827894,0.4627811,0.0104886
54848.2837037,0.4612064,0.0189672
54852.2735648,0.4529890,0.0147470
54852.2744907,0.4564488,0.0220928
54854.2504514,0.3736480,0.0594807
54856.2640741,0.4412685,0.0132119
54856.2650000,0.4425787,0.0116829
54859.2777546,0.4298107,0.0114207
54860.2532176,0.4014595,0.0097668
54860.2541435,0.3991631,0.0097406
54861.2724306,0.4405861,0.0116204
54862.2468981,0.4400415,0.0100219
54862.2478241,0.4426326,0.0185724
54863.2667014,0.4351429,0.0251342
54864.2422106,0.4361674,0.0097372
54864.2431366,0.4339478,0.0231208
54865.2613657,0.4442138,0.0155396
54866.2367593,0.4434417,0.0137149
54866.2376852,0.4434873,0.0117229
54867.2556944,0.4345120,0.0096654
54868.2304051,0.4388398,0.0162807
54868.2313194,0.4516589,0.0160896
54873.2393866,0.4399435,0.0158205
54874.2139931,0.4312907,0.0205961
54874.2149074,0.4284633,0.0144404
54875.2344560,0.4346578,0.0100053
54876.2093171,0.4354654,0.0244613
54876.2102431,0.4338633,0.0125676
54877.2290625,0.4280675,0.0107741
54879.2228356,0.4236667,0.0134418
54880.1988426,0.4305882,0.0201800
54880.1997685,0.4301407,0.0093146
54881.2207060,0.4143299,0.0167866
54882.1993403,0.4265589,0.0097893
54882.2002662,0.4079837,0.0237687
54883.2153472,0.4242140,0.0118001
54884.1938194,0.4387541,0.0658812
54884.1947454,0.4269976,0.0097605
54885.2091088,0.4196199,0.0088068
54886.1877662,0.4257516,0.0279064
54886.1886921,0.4139570,0.0123077
54887.2037037,0.4248306,0.0105256
54888.1828472,0.4166447,0.0143109
54888.1837731,0.4114338,0.0162954
54889.1981366,0.4253948,0.0131098
54890.1775347,0.4271715,0.0174956
54890.1784606,0.4115039,0.0114413
54891.1926736,0.4313344,0.0300593
54893.1878935,0.4204378,0.0205968
54894.1661458,0.4266684,0.0108934
54894.1670718,0.4201484,0.0166825
54895.1819792,0.4203703,0.0120356
54896.1606366,0.4277649,0.0117421
54896.1615625,0.4074496,0.0086265
54897.1771759,0.3756655,0.0109845
54898.1555903,0.4158919,0.0110999
54898.1565162,0.4170569,0.0150370
54899.1709144,0.4271951,0.0110850
54901.1656829,0.4275117,0.0119150
54902.1457755,0.4268228,0.0136256
54902.1467014,0.4281618,0.0087994
54904.1400116,0.4240818,0.0244930
54904.1409375,0.4231113,0.0095431
54905.1567014,0.4243876,0.0162043
54906.1343171,0.4241592,0.0170526
54906.1352431,0.4257044,0.0094584
54909.1498843,0.4220013,0.0093824
54909.1507870,0.4311045,0.0071081
54915.1282176,0.3785205,0.0315149
54915.1291435,0.3645107,0.0155351
54918.1136111,0.4227442,0.0152768
54918.1145833,0.4079074,0.0154659
54922.0949421,0.4244668,0.0168637
54922.0958796,0.4219161,0.0153802
54928.1050810,0.4256583,0.0103443
54928.1060069,0.4149967,0.0127387
54931.1042361,0.4239162,0.0207359
54931.1051620,0.4223001,0.0080168
54934.0634722,0.4306278,0.0243802
54934.0668866,0.4232512,0.0137740
54943.0489352,0.4421081,0.0240813
54943.0523727,0.4321594,0.0186265
54961.9749653,0.4531451,0.0074747
54961.9758912,0.4504992,0.0298515
54964.9668287,0.4488938,0.0091945
54964.9677546,0.4519333,0.0150873
54967.9595255,0.4456442,0.0166569
54989.8984954,0.4555882,0.0259121
